PolicyNumber,Make,Sex,MaritalStatus,Age,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,AddressChange-Claim,BasePolicy
25,Mazda,Male,Married,45,Sedan - All Perils,Sedan,"more than 69,000",12,400,3,more than 4,more than 7,36 to 40,External,no change,All Perils
26,Pontiac,Male,Married,60,Sedan - Liability,Sport,"20,000 to 29,000",16,400,4,more than 4,more than 7,51 to 65,External,no change,Liability
27,Honda,Male,Married,21,Sedan - Collision,Sedan,"30,000 to 39,000",1,400,2,more than 4,5 years,26 to 30,External,no change,Collision
28,Accura,Male,Married,42,Sedan - All Perils,Sedan,"30,000 to 39,000",1,400,3,2 to 4,7 years,36 to 40,External,no change,All Perils
29,Honda,Male,Single,16,Sedan - All Perils,Sedan,"more than 69,000",9,400,1,none,new,16 to 17,External,no change,All Perils
30,Mazda,Female,Married,39,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,3,none,7 years,36 to 40,External,no change,Collision
31,Dodge,Male,Married,47,Sedan - Collision,Sedan,"30,000 to 39,000",2,400,1,2 to 4,more than 7,41 to 50,Internal,no change,Collision
32,Honda,Male,Single,16,Sedan - Collision,Sedan,"more than 69,000",6,400,1,1,new,16 to 17,External,no change,Collision
33,Chevrolet,Male,Single,42,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,3,more than 4,7 years,36 to 40,External,no change,Collision
34,Honda,Male,Single,30,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,4,none,6 years,31 to 35,External,no change,Collision
35,Ford,Male,Married,42,Utility - All Perils,Utility,"more than 69,000",12,400,1,2 to 4,7 years,36 to 40,External,no change,All Perils
36,Chevrolet,Male,Single,34,Sedan - Liability,Sport,"20,000 to 29,000",5,400,3,2 to 4,7 years,31 to 35,External,no change,Liability
37,Honda,Male,Married,30,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,4,none,6 years,31 to 35,External,no change,Collision
38,Mazda,Male,Single,27,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,2,none,7 years,31 to 35,External,no change,Collision
39,Honda,Male,Married,55,Sport - Collision,Sport,"more than 69,000",12,400,1,none,more than 7,41 to 50,External,no change,Collision
40,Toyota,Male,Married,35,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,3,none,7 years,31 to 35,External,no change,Collision
41,Chevrolet,Female,Married,35,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,1,2 to 4,6 years,31 to 35,External,no change,Collision
42,Pontiac,Male,Married,44,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,1,2 to 4,7 years,36 to 40,External,no change,All Perils
43,Toyota,Female,Single,42,Sedan - Liability,Sport,"20,000 to 29,000",12,400,4,none,4 years,36 to 40,External,4 to 8 years,Liability
44,Honda,Male,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,2,2 to 4,7 years,36 to 40,External,no change,Collision
45,Toyota,Male,Married,72,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,1,none,more than 7,over 65,External,no change,Collision
46,Pontiac,Female,Married,29,Sedan - All Perils,Sedan,"less than 20,000",8,400,3,2 to 4,5 years,31 to 35,External,no change,All Perils
47,Pontiac,Male,Single,32,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,4,none,6 years,31 to 35,Internal,no change,Collision
48,Mazda,Male,Married,37,Sedan - Liability,Sport,"30,000 to 39,000",13,400,3,2 to 4,5 years,36 to 40,External,no change,Liability
49,Chevrolet,Female,Married,37,Sedan - Liability,Sport,"more than 69,000",10,400,1,2 to 4,6 years,36 to 40,External,no change,Liability
50,Pontiac,Male,Married,59,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,4,more than 4,more than 7,51 to 65,External,no change,Collision
51,Pontiac,Male,Married,49,Sedan - Liability,Sport,"30,000 to 39,000",14,400,2,more than 4,more than 7,41 to 50,External,no change,Liability
52,Pontiac,Male,Married,27,Sedan - Liability,Sport,"20,000 to 29,000",4,500,3,2 to 4,6 years,31 to 35,External,2 to 3 years,Liability
53,Honda,Male,Married,21,Sport - Collision,Sport,"more than 69,000",4,400,4,none,4 years,26 to 30,External,no change,Collision
54,Honda,Male,Married,50,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,1,none,more than 7,41 to 50,External,no change,Collision
55,Pontiac,Male,Single,45,Sedan - Collision,Sedan,"30,000 to 39,000",8,400,1,1,7 years,36 to 40,External,no change,Collision
56,Mazda,Male,Married,49,Sedan - All Perils,Sedan,"20,000 to 29,000",7,400,4,none,more than 7,41 to 50,External,no change,All Perils
57,Honda,Male,Single,30,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,4,2 to 4,6 years,31 to 35,External,no change,All Perils
58,Accura,Male,Single,37,Sedan - Collision,Sedan,"more than 69,000",11,400,3,2 to 4,7 years,36 to 40,External,no change,Collision
59,Honda,Male,Single,16,Sedan - Liability,Sport,"more than 69,000",15,400,4,none,new,16 to 17,External,no change,Liability
60,Chevrolet,Female,Single,27,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,4,none,6 years,31 to 35,External,no change,Collision
61,Toyota,Male,Single,30,Sedan - All Perils,Sedan,"30,000 to 39,000",5,400,4,none,5 years,31 to 35,External,no change,All Perils
62,Pontiac,Male,Married,49,Utility - Collision,Utility,"40,000 to 59,000",6,400,4,none,more than 7,41 to 50,External,no change,Collision
63,Honda,Male,Single,17,Sedan - All Perils,Sedan,"more than 69,000",3,400,2,2 to 4,new,16 to 17,External,no change,All Perils
64,Toyota,Male,Married,26,Sedan - Liability,Sport,"20,000 to 29,000",13,400,3,2 to 4,7 years,31 to 35,External,4 to 8 years,Liability
65,Pontiac,Male,Single,48,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,1,none,7 years,41 to 50,External,no change,Collision
66,Mazda,Male,Single,31,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,3,none,7 years,31 to 35,External,no change,All Perils
67,Mercury,Male,Single,40,Sedan - Collision,Sedan,"more than 69,000",16,400,2,1,7 years,36 to 40,External,no change,Collision
68,Mazda,Male,Married,65,Sedan - Liability,Sport,"30,000 to 39,000",12,400,1,2 to 4,more than 7,51 to 65,External,no change,Liability
69,Toyota,Male,Married,64,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,1,1,more than 7,51 to 65,External,no change,Collision
70,Honda,Male,Married,55,Sedan - Liability,Sport,"20,000 to 29,000",12,400,2,2 to 4,7 years,41 to 50,External,no change,Liability
71,Honda,Male,Single,44,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,1,2 to 4,7 years,36 to 40,External,no change,Collision
72,Mazda,Male,Married,27,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,3,1,6 years,31 to 35,External,no change,Collision
73,Chevrolet,Female,Single,28,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,3,1,5 years,31 to 35,External,no change,Collision
74,Honda,Male,Married,47,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,2,1,more than 7,41 to 50,External,no change,Collision
75,Mazda,Male,Married,60,Sedan - Collision,Sedan,"more than 69,000",12,400,3,more than 4,7 years,51 to 65,External,no change,Collision
76,Ford,Male,Married,33,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,4,more than 4,6 years,31 to 35,External,no change,Collision
77,Chevrolet,Male,Married,27,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,3,none,6 years,31 to 35,External,no change,All Perils
78,Honda,Female,Married,47,Sport - Collision,Sport,"more than 69,000",12,400,3,none,more than 7,41 to 50,External,no change,Collision
79,Jaguar,Female,Single,29,Sedan - Liability,Sport,"30,000 to 39,000",16,400,1,2 to 4,5 years,31 to 35,External,no change,Liability
80,Toyota,Female,Married,33,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,1,2 to 4,7 years,31 to 35,External,no change,Collision
81,Pontiac,Male,Married,38,Sedan - Liability,Sport,"20,000 to 29,000",13,400,4,2 to 4,6 years,36 to 40,External,no change,Liability
82,Mazda,Male,Single,37,Sedan - Liability,Sport,"20,000 to 29,000",6,400,2,1,7 years,36 to 40,External,no change,Liability
83,Chevrolet,Male,Married,36,Sedan - All Perils,Sedan,"more than 69,000",13,400,4,none,7 years,36 to 40,External,no change,All Perils
84,Toyota,Female,Married,44,Sedan - Liability,Sport,"20,000 to 29,000",9,400,4,none,6 years,36 to 40,External,no change,Liability
85,Honda,Male,Single,16,Sedan - Liability,Sport,"more than 69,000",6,400,2,more than 4,new,16 to 17,External,4 to 8 years,Liability
86,Chevrolet,Male,Married,27,Utility - Liability,Utility,"more than 69,000",4,400,4,1,6 years,31 to 35,External,no change,Liability
87,Toyota,Male,Single,27,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,3,1,6 years,31 to 35,External,no change,Collision
88,Mazda,Male,Single,39,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,2,2 to 4,4 years,36 to 40,External,no change,All Perils
89,Pontiac,Male,Married,74,Sedan - All Perils,Sedan,"30,000 to 39,000",13,400,4,none,7 years,over 65,External,no change,All Perils
90,Honda,Male,Single,23,Sedan - Liability,Sport,"20,000 to 29,000",8,400,2,2 to 4,4 years,26 to 30,External,no change,Liability
91,Honda,Female,Single,25,Sport - Collision,Sport,"more than 69,000",2,400,1,none,6 years,26 to 30,External,no change,Collision
92,Pontiac,Male,Single,38,Sedan - Liability,Sport,"20,000 to 29,000",13,400,2,more than 4,7 years,36 to 40,External,1 year,Liability
93,Honda,Male,Married,41,Sedan - All Perils,Sedan,"30,000 to 39,000",16,400,1,2 to 4,7 years,36 to 40,External,no change,All Perils
94,Pontiac,Male,Married,38,Sedan - Collision,Sedan,"20,000 to 29,000",13,700,3,2 to 4,7 years,36 to 40,External,no change,Collision
95,Honda,Male,Single,34,Sport - Collision,Sport,"more than 69,000",7,400,3,none,7 years,31 to 35,External,no change,Collision
96,Honda,Male,Married,61,Sedan - Collision,Sedan,"30,000 to 39,000",15,400,4,none,more than 7,51 to 65,External,no change,Collision
97,Toyota,Male,Married,38,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,2,1,7 years,36 to 40,External,no change,Collision
98,Toyota,Male,Single,40,Sedan - All Perils,Sedan,"less than 20,000",4,400,4,1,7 years,36 to 40,External,no change,All Perils
99,Pontiac,Male,Married,41,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,4,2 to 4,7 years,36 to 40,External,no change,All Perils
100,Pontiac,Male,Married,36,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,1,1,7 years,36 to 40,External,no change,All Perils
101,Chevrolet,Male,Married,31,Utility - All Perils,Utility,"more than 69,000",2,400,1,more than 4,7 years,31 to 35,External,no change,All Perils
102,Pontiac,Female,Married,35,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,4,1,6 years,31 to 35,External,no change,All Perils
103,Ford,Female,Married,37,Sedan - All Perils,Sedan,"more than 69,000",14,500,2,2 to 4,6 years,36 to 40,External,no change,All Perils
104,Mazda,Male,Married,55,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,3,none,more than 7,41 to 50,External,no change,All Perils
105,Pontiac,Male,Single,31,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,4,2 to 4,7 years,31 to 35,External,no change,All Perils
106,Dodge,Male,Married,28,Sedan - Liability,Sport,"more than 69,000",5,400,1,none,7 years,31 to 35,External,4 to 8 years,Liability
107,Mazda,Male,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,2,2 to 4,7 years,31 to 35,External,no change,Collision
108,Pontiac,Male,Married,44,Sedan - All Perils,Sedan,"20,000 to 29,000",11,400,1,none,7 years,36 to 40,External,no change,All Perils
109,Chevrolet,Male,Married,47,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,1,1,more than 7,41 to 50,External,no change,All Perils
110,Honda,Male,Married,40,Sedan - Liability,Sport,"20,000 to 29,000",16,400,4,none,6 years,36 to 40,External,no change,Liability
111,Toyota,Male,Single,23,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,2,2 to 4,5 years,26 to 30,External,no change,Collision
112,Pontiac,Male,Single,31,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,3,2 to 4,6 years,31 to 35,External,no change,All Perils
113,Honda,Male,Married,35,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,1,none,6 years,31 to 35,External,no change,All Perils
114,Accura,Male,Married,56,Utility - All Perils,Utility,"more than 69,000",10,400,2,none,more than 7,51 to 65,External,no change,All Perils
115,Chevrolet,Male,Married,50,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,3,1,more than 7,41 to 50,External,no change,Collision
116,Honda,Male,Single,16,Sport - Collision,Sport,"more than 69,000",2,400,1,2 to 4,4 years,18 to 20,External,no change,Collision
117,Pontiac,Male,Married,32,Sedan - Collision,Sedan,"30,000 to 39,000",12,400,2,1,7 years,31 to 35,External,no change,Collision
118,Pontiac,Male,Single,28,Sedan - Liability,Sport,"20,000 to 29,000",4,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
119,Mazda,Male,Single,68,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,3,2 to 4,5 years,over 65,External,no change,All Perils
120,Honda,Male,Single,16,Sedan - All Perils,Sedan,"more than 69,000",7,400,3,none,new,16 to 17,External,no change,All Perils
121,Honda,Male,Single,16,Sedan - All Perils,Sedan,"more than 69,000",8,400,3,none,new,16 to 17,External,no change,All Perils
122,Honda,Female,Married,18,Sport - Collision,Sport,"more than 69,000",12,400,4,none,2 years,21 to 25,External,no change,Collision
123,Pontiac,Male,Single,30,Sedan - Collision,Sedan,"more than 69,000",2,400,1,more than 4,6 years,31 to 35,External,no change,Collision
124,Honda,Male,Married,51,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,4,more than 4,more than 7,41 to 50,External,no change,Collision
125,Toyota,Male,Single,22,Sedan - All Perils,Sedan,"30,000 to 39,000",6,400,3,none,6 years,26 to 30,External,no change,All Perils
126,Pontiac,Female,Married,26,Sedan - Liability,Sport,"20,000 to 29,000",16,400,4,2 to 4,7 years,31 to 35,External,no change,Liability
127,Dodge,Male,Married,53,Sedan - Collision,Sedan,"30,000 to 39,000",15,400,2,none,more than 7,41 to 50,External,4 to 8 years,Collision
128,Mazda,Male,Married,38,Sedan - Liability,Sport,"30,000 to 39,000",13,400,3,2 to 4,7 years,36 to 40,External,no change,Liability
129,Chevrolet,Male,Married,27,Sedan - Liability,Sport,"30,000 to 39,000",9,400,3,more than 4,6 years,31 to 35,External,no change,Liability
130,Honda,Male,Single,29,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,3,2 to 4,7 years,31 to 35,External,no change,Collision
131,Pontiac,Male,Single,32,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,1,more than 4,5 years,31 to 35,External,no change,Collision
132,Honda,Male,Single,18,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,3,none,3 years,21 to 25,External,no change,Collision
133,Pontiac,Male,Married,60,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,4,2 to 4,more than 7,51 to 65,External,no change,Collision
134,Ford,Male,Married,53,Sedan - Collision,Sedan,"more than 69,000",12,400,3,none,more than 7,41 to 50,External,no change,Collision
135,Honda,Male,Single,29,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,4,1,6 years,31 to 35,External,no change,Collision
136,Pontiac,Male,Married,29,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,2,1,7 years,31 to 35,External,no change,Collision
137,Toyota,Male,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,4,1,7 years,36 to 40,External,no change,Collision
138,Toyota,Male,Married,29,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,4,none,7 years,31 to 35,External,no change,All Perils
139,Mercury,Male,Married,42,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,2,more than 4,7 years,36 to 40,External,no change,All Perils
140,Toyota,Male,Married,34,Sedan - All Perils,Sedan,"less than 20,000",9,400,2,none,7 years,31 to 35,External,no change,All Perils
141,Honda,Male,Married,51,Sport - Collision,Sport,"more than 69,000",11,400,4,1,more than 7,41 to 50,External,no change,Collision
142,Pontiac,Male,Married,32,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,4,1,6 years,31 to 35,External,no change,All Perils
143,Chevrolet,Male,Married,52,Sedan - Liability,Sport,"20,000 to 29,000",10,400,4,none,more than 7,41 to 50,Internal,no change,Liability
144,Toyota,Male,Married,61,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,2,2 to 4,more than 7,51 to 65,External,no change,Collision
145,Toyota,Male,Single,25,Sedan - Liability,Sport,"20,000 to 29,000",1,400,4,2 to 4,5 years,26 to 30,External,no change,Liability
146,Mazda,Male,Married,41,Sedan - All Perils,Sedan,"30,000 to 39,000",6,400,1,none,7 years,36 to 40,External,no change,All Perils
147,Mazda,Male,Single,33,Sedan - Liability,Sport,"30,000 to 39,000",10,400,1,none,6 years,31 to 35,External,no change,Liability
148,Toyota,Male,Married,39,Sedan - All Perils,Sedan,"30,000 to 39,000",1,400,3,none,more than 7,36 to 40,External,under 6 months,All Perils
149,Accura,Male,Single,30,Sedan - Collision,Sedan,"30,000 to 39,000",13,400,1,none,6 years,31 to 35,External,no change,Collision
150,Mazda,Male,Widow,50,Sedan - Collision,Sedan,"20,000 to 29,000",15,400,4,none,more than 7,41 to 50,External,no change,Collision
151,Pontiac,Female,Married,31,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,1,2 to 4,7 years,31 to 35,External,no change,Collision
152,Pontiac,Male,Single,23,Sedan - Liability,Sport,"30,000 to 39,000",8,400,4,more than 4,5 years,26 to 30,External,no change,Liability
153,Pontiac,Male,Single,31,Sedan - Liability,Sport,"30,000 to 39,000",10,400,3,1,7 years,31 to 35,External,no change,Liability
154,Honda,Male,Married,50,Sedan - All Perils,Sedan,"20,000 to 29,000",2,500,3,2 to 4,7 years,41 to 50,External,2 to 3 years,All Perils
155,Honda,Female,Single,33,Sedan - Liability,Sport,"20,000 to 29,000",8,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
156,Accura,Male,Married,30,Sedan - Liability,Sport,"30,000 to 39,000",6,400,2,more than 4,6 years,31 to 35,External,no change,Liability
157,Mazda,Male,Married,44,Sedan - Collision,Sedan,"40,000 to 59,000",13,400,1,more than 4,more than 7,36 to 40,External,no change,Collision
158,Chevrolet,Male,Married,46,Sedan - All Perils,Sedan,"more than 69,000",13,400,2,1,7 years,41 to 50,External,no change,All Perils
159,Honda,Male,Single,31,Sedan - Liability,Sport,"20,000 to 29,000",11,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
160,Honda,Male,Married,48,Sedan - Liability,Sport,"20,000 to 29,000",5,400,3,2 to 4,more than 7,41 to 50,External,no change,Liability
161,Chevrolet,Male,Married,33,Sedan - All Perils,Sedan,"more than 69,000",12,400,3,none,6 years,31 to 35,External,no change,All Perils
162,Honda,Male,Single,17,Sedan - Liability,Sport,"more than 69,000",3,400,1,2 to 4,new,16 to 17,External,no change,Liability
163,Chevrolet,Female,Single,37,Sedan - Liability,Sport,"more than 69,000",5,400,3,1,7 years,36 to 40,External,no change,Liability
164,Toyota,Male,Married,43,Sedan - All Perils,Sedan,"less than 20,000",3,400,3,none,7 years,36 to 40,External,no change,All Perils
165,Toyota,Female,Married,32,Sedan - Collision,Sedan,"30,000 to 39,000",14,400,1,more than 4,4 years,31 to 35,External,no change,Collision
166,Toyota,Male,Married,57,Sedan - Liability,Sport,"20,000 to 29,000",4,400,1,2 to 4,more than 7,51 to 65,External,no change,Liability
167,Honda,Male,Married,65,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,2,1,more than 7,51 to 65,External,no change,All Perils
168,Toyota,Female,Single,27,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,4,none,6 years,31 to 35,External,no change,Collision
169,Nisson,Male,Married,42,Utility - All Perils,Utility,"more than 69,000",6,400,4,2 to 4,more than 7,36 to 40,External,4 to 8 years,All Perils
170,Honda,Male,Married,57,Sedan - Liability,Sport,"20,000 to 29,000",7,400,1,2 to 4,more than 7,51 to 65,External,no change,Liability
171,Pontiac,Male,Single,32,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,3,none,7 years,31 to 35,External,no change,All Perils
172,Mazda,Male,Single,29,Sedan - Liability,Sport,"20,000 to 29,000",7,400,2,2 to 4,7 years,31 to 35,External,no change,Liability
173,VW,Male,Married,36,Sedan - Collision,Sedan,"30,000 to 39,000",2,400,4,none,7 years,36 to 40,External,no change,Collision
174,Toyota,Male,Single,28,Sedan - Liability,Sport,"30,000 to 39,000",2,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
175,Honda,Female,Single,32,Sedan - All Perils,Sedan,"less than 20,000",14,400,1,1,6 years,31 to 35,External,no change,All Perils
176,Chevrolet,Male,Single,33,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,2,none,6 years,31 to 35,External,no change,All Perils
177,Saab,Male,Married,37,Sedan - All Perils,Sedan,"30,000 to 39,000",1,400,2,2 to 4,more than 7,36 to 40,External,no change,All Perils
178,Honda,Female,Single,26,Sedan - Liability,Sport,"20,000 to 29,000",16,400,3,more than 4,6 years,31 to 35,External,no change,Liability
179,Chevrolet,Male,Married,53,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,1,1,more than 7,41 to 50,External,no change,All Perils
180,Mercury,Male,Married,53,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,3,1,more than 7,41 to 50,External,no change,All Perils
181,Ford,Male,Married,74,Sedan - All Perils,Sedan,"less than 20,000",8,400,4,2 to 4,more than 7,over 65,External,no change,All Perils
182,Pontiac,Male,Married,50,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,2,1,7 years,41 to 50,External,no change,Collision
183,Mazda,Male,Single,27,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,4,none,6 years,31 to 35,External,1 year,All Perils
184,Toyota,Male,Married,48,Sedan - All Perils,Sedan,"20,000 to 29,000",7,400,1,more than 4,more than 7,41 to 50,External,no change,All Perils
185,Chevrolet,Female,Single,55,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,2,none,7 years,41 to 50,External,no change,All Perils
186,Pontiac,Male,Married,48,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,4,none,more than 7,41 to 50,External,no change,All Perils
187,Honda,Male,Single,16,Sedan - Liability,Sport,"more than 69,000",8,400,4,2 to 4,new,16 to 17,External,no change,Liability
188,Pontiac,Male,Married,54,Sedan - Liability,Sport,"20,000 to 29,000",10,400,4,1,7 years,41 to 50,External,no change,Liability
189,Chevrolet,Male,Married,36,Sedan - Liability,Sport,"30,000 to 39,000",14,400,1,more than 4,7 years,36 to 40,External,no change,Liability
190,Mazda,Male,Married,43,Sedan - All Perils,Sedan,"30,000 to 39,000",10,400,2,2 to 4,more than 7,36 to 40,External,4 to 8 years,All Perils
191,Mazda,Male,Married,41,Sedan - Collision,Sedan,"30,000 to 39,000",1,400,4,none,more than 7,36 to 40,External,no change,Collision
192,Toyota,Male,Married,48,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,2,2 to 4,more than 7,41 to 50,External,no change,All Perils
193,Chevrolet,Male,Married,26,Utility - All Perils,Utility,"more than 69,000",14,400,2,none,6 years,31 to 35,External,no change,All Perils
194,Toyota,Female,Married,43,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,3,none,6 years,36 to 40,External,no change,All Perils
195,Honda,Male,Married,39,Sport - Collision,Sport,"more than 69,000",13,400,3,none,more than 7,36 to 40,External,no change,Collision
196,Chevrolet,Male,Married,49,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,3,1,more than 7,41 to 50,External,no change,Collision
197,Honda,Male,Married,37,Sedan - Collision,Sedan,"30,000 to 39,000",14,400,3,2 to 4,7 years,36 to 40,External,no change,Collision
198,Mazda,Male,Married,36,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,3,2 to 4,7 years,36 to 40,External,no change,Collision
199,Pontiac,Female,Married,52,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,4,2 to 4,6 years,41 to 50,External,no change,All Perils
200,Pontiac,Male,Married,29,Sedan - All Perils,Sedan,"less than 20,000",16,400,4,none,6 years,31 to 35,External,no change,All Perils
201,Mazda,Male,Married,38,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,4,none,more than 7,36 to 40,External,no change,Collision
